image_path,true_label,predicted_label,prob_real,prob_fake,true_class,predicted_class,correct
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/16145.jpg,0,0,0.8922683,0.10773169,real,real,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/13380.jpg,0,1,0.31320456,0.6867955,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/19907.png,1,1,0.01335349,0.98664653,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/test/fake/0537.jpg,1,1,0.18876468,0.8112353,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/9998.jpg,1,0,0.58213764,0.41786236,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/19110.jpg,0,0,0.9978033,0.002196678,real,real,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/1381.jpg,0,1,0.101960845,0.89803916,real,fake,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/7180.jpg,1,1,0.040774185,0.9592258,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/22900.jpg,0,0,0.99556595,0.00443403,real,real,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/11589.jpg,1,1,0.018907614,0.9810924,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/21065.png,1,1,1.0420537e-05,0.9999896,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/23634.png,1,1,2.1370819e-05,0.99997866,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/7192.jpg,1,0,0.9522087,0.04779133,fake,real,False
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/test/fake/1881.png,1,1,0.0022689733,0.99773103,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/fake/7659.jpg,1,1,0.0006247569,0.9993753,fake,fake,True
/kaggle/input/datasets/tristanzhang32/ai-generated-images-vs-real-images/train/real/19590.jpg,0,0,0.9882755,0.011724462,real,real,True
